selection_rank,selection_score,selection_band,compiler_action,record_class,source_note_status,selection_flags,country_risk_level,country_risk_score,primary_chapter_country,countries,sort_date,display_date,volume_date_scope,document_type,title,subject_or_context,priority_or_release_status,source_score,page_count_or_range,themes_or_topics,same_date_diary_backup_count,nearby_high_priority_print_lead_count,nearby_high_priority_print_leads,nearby_private_records_14_days,nearby_public_statement_count_7_days,source_series,source_folder_or_title,source_note,provenance_note,pdf_url,catalog_or_details_url,page_link,record_id
277,106,Verify date/scope before selection,Verify date and volume scope before investing selection time.,Print-candidate lead,FRUS-style ready,"missing_or_unparsed_date; outside_volume_date_scope_or_undated; ocr_lead_verify_page_image; high_priority_print_candidate",Monitor,18,Venezuela,Venezuela,,,Undated/needs verification,Talking Points,TALKING POINTS ° I appreciate your public and private comments in,"democracy, presidential diplomacy; document text visible in OCR",High,90,6,"democracy; presidential diplomacy",,,,,,Latin American Affairs Directorate Subject Files,[Briefing Material for POTUS Meeting with Venezuelan President Carlos Andres Perez 4/89] [loose],"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-022, [Briefing Material for POTUS Meeting with Venezuelan President Carlos Andres Perez 4/89] [loose]. Access restriction: Restricted - Possibly. FOIA 2009-0704-F.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-022.pdf,https://catalog.archives.gov/id/470766537,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-022.pdf#page=6,subject-print-470766537-6-talking-points
278,106,Verify date/scope before selection,Verify date and volume scope before investing selection time.,Print-candidate lead,FRUS-style ready,"missing_or_unparsed_date; outside_volume_date_scope_or_undated; ocr_lead_verify_page_image; high_priority_print_candidate",Monitor,18,Venezuela,Venezuela,,,Undated/needs verification,Talking Points,TALKING POINTS G-8 DIALOGUE fe},"narcotics, democracy, debt and economy; document text visible in OCR",High,90,8,"narcotics; democracy; debt and economy; presidential diplomacy",,,,,,Latin American Affairs Directorate Subject Files,[Briefing Material for POTUS Meeting with Venezuelan President Carlos Andres Perez 4/89] [loose],"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-022, [Briefing Material for POTUS Meeting with Venezuelan President Carlos Andres Perez 4/89] [loose]. Access restriction: Restricted - Possibly. FOIA 2009-0704-F.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-022.pdf,https://catalog.archives.gov/id/470766537,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-022.pdf#page=8,subject-print-470766537-8-talking-points
279,106,Verify date/scope before selection,Verify date and volume scope before investing selection time.,Print-candidate lead,FRUS-style ready,"missing_or_unparsed_date; outside_volume_date_scope_or_undated; ocr_lead_verify_page_image; high_priority_print_candidate",Monitor,18,Venezuela,Venezuela,,,Undated/needs verification,Talking Points,TALKING POINTS PANAMA We appreciate your efforts on behalf of democracy in,"democracy, presidential diplomacy, panama spillover; document text visible in OCR",High,90,7,"democracy; presidential diplomacy; panama spillover",,,,,,Latin American Affairs Directorate Subject Files,[Briefing Material for POTUS Meeting with Venezuelan President Carlos Andres Perez 4/89] [loose],"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-022, [Briefing Material for POTUS Meeting with Venezuelan President Carlos Andres Perez 4/89] [loose]. Access restriction: Restricted - Possibly. FOIA 2009-0704-F.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-022.pdf,https://catalog.archives.gov/id/470766537,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-022.pdf#page=7,subject-print-470766537-7-talking-points
280,106,Verify date/scope before selection,Verify date and volume scope before investing selection time.,Print-candidate lead,FRUS-style ready,"missing_or_unparsed_date; outside_volume_date_scope_or_undated; ocr_lead_verify_page_image; high_priority_print_candidate",Monitor,18,Venezuela,Venezuela,,,Undated/needs verification,Talking Points,TALKING POINTS The U.S. will not entertain any significant improvement in relations with Cuba until Cuban,"democracy, presidential diplomacy, regional policy; document text visible in OCR",High,90,9,"democracy; presidential diplomacy; regional policy; ussr/cuba",,,,,,Latin American Affairs Directorate Subject Files,[Briefing Material for POTUS Meeting with Venezuelan President Carlos Andres Perez 4/89] [loose],"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-022, [Briefing Material for POTUS Meeting with Venezuelan President Carlos Andres Perez 4/89] [loose]. Access restriction: Restricted - Possibly. FOIA 2009-0704-F.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-022.pdf,https://catalog.archives.gov/id/470766537,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-022.pdf#page=9,subject-print-470766537-9-talking-points
281,106,High-priority print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"regional_no_single_country; ocr_lead_verify_page_image; high_priority_print_candidate",,,Regional/No single country,,1989-02-19,"February 19, 1989",Volume date range,Memorandum,Presidential Certifications for,"memorandum form; Presidential or NSC principals; narcotics, drug, presidential diplomacy; document text visible in OCR",High,78,49,"narcotics; drug; presidential diplomacy",,,,,,Latin American Affairs Directorate Subject Files,"Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [4]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00194, CF00194-016, Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-016.pdf,https://catalog.archives.gov/id/470766553,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-016.pdf#page=49,subject-print-470766553-49-memorandum
282,106,High-priority print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"regional_no_single_country; ocr_lead_verify_page_image; high_priority_print_candidate",,,Regional/No single country,,1989-02-22,"February 22, 1989",Volume date range,Memorandum,Reply to President Arias’ Letter on Narcotics,"memorandum form; Presidential or NSC principals; narcotics, drug, presidential diplomacy; document text visible in OCR",High,78,94,"narcotics; drug; presidential diplomacy",,,,,,Latin American Affairs Directorate Subject Files,"Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [4]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00194, CF00194-016, Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-016.pdf,https://catalog.archives.gov/id/470766553,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-016.pdf#page=94,subject-print-470766553-94-memorandum
283,106,High-priority print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"regional_no_single_country; ocr_lead_verify_page_image; high_priority_print_candidate",,,Regional/No single country,,1989-03-21,"March 21, 1989",Volume date range,Memorandum,President's Reply to Costa Rican President Oscar,"memorandum form; Presidential or NSC principals; narcotics, drug, presidential diplomacy; document text visible in OCR",High,78,98,"narcotics; drug; presidential diplomacy",,,,,,Latin American Affairs Directorate Subject Files,"Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [4]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00194, CF00194-016, Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-016.pdf,https://catalog.archives.gov/id/470766553,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-016.pdf#page=98,subject-print-470766553-98-memorandum
284,106,High-priority print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"regional_no_single_country; ocr_lead_verify_page_image; high_priority_print_candidate",,,Regional/No single country,,1989-03-23,"March 23, 1989",Volume date range,Memorandum,Reply to President Arias’ Letter on Narcotics,"memorandum form; Presidential or NSC principals; narcotics, drug, presidential diplomacy; document text visible in OCR",High,78,93,"narcotics; drug; presidential diplomacy",,,,,,Latin American Affairs Directorate Subject Files,"Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [4]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00194, CF00194-016, Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-016.pdf,https://catalog.archives.gov/id/470766553,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-016.pdf#page=93,subject-print-470766553-93-memorandum
285,106,High-priority print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"regional_no_single_country; ocr_lead_verify_page_image; high_priority_print_candidate",,,Regional/No single country,,1989-05-05,"May 5, 1989",Volume date range,Memorandum,Proposed Letter From the President to President,"memorandum form; Presidential or NSC principals; narcotics, drug, presidential diplomacy; document text visible in OCR",High,78,79,"narcotics; drug; presidential diplomacy",,,,,,Latin American Affairs Directorate Subject Files,"Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [3]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00194, CF00194-015, Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-015.pdf,https://catalog.archives.gov/id/470766552,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-015.pdf#page=79,subject-print-470766552-79-memorandum
286,106,High-priority print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"regional_no_single_country; ocr_lead_verify_page_image; high_priority_print_candidate",,,Regional/No single country,,1989-08-14,"August 14, 1989",Volume date range,Memorandum,Comparison of Director Bennett’s Draft Anti-Drug,"memorandum form; Presidential or NSC principals; narcotics, drug, presidential diplomacy; document text visible in OCR",High,78,57,"narcotics; drug; presidential diplomacy",,,,,,Latin American Affairs Directorate Subject Files,"Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [1]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00194, CF00194-013, Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-013.pdf,https://catalog.archives.gov/id/470766550,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-013.pdf#page=57,subject-print-470766550-57-memorandum
287,106,High-priority print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"regional_no_single_country; ocr_lead_verify_page_image; high_priority_print_candidate",,,Regional/No single country,,1989-08-15,"August 15, 1989",Volume date range,Memorandum,NATIONAL DRUG CONTROL STRATEGY:,"memorandum form; Presidential or NSC principals; narcotics, drug, presidential diplomacy; document text visible in OCR",High,78,77,"narcotics; drug; presidential diplomacy",,,,,,Latin American Affairs Directorate Subject Files,"Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [1]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00194, CF00194-013, Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-013.pdf,https://catalog.archives.gov/id/470766550,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-013.pdf#page=77,subject-print-470766550-77-memorandum
288,106,High-priority print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"regional_no_single_country; ocr_lead_verify_page_image; high_priority_print_candidate",,,Regional/No single country,,1989-10-18,"October 18, 1989",Volume date range,Memorandum,Letters to President Joaquin Balaguer Dominican,"memorandum form; Presidential or NSC principals; narcotics, drug, presidential diplomacy; document text visible in OCR",High,78,74,"narcotics; drug; presidential diplomacy",,,,,,Latin American Affairs Directorate Subject Files,"Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [3]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00194, CF00194-015, Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-015.pdf,https://catalog.archives.gov/id/470766552,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-015.pdf#page=74,subject-print-470766552-74-memorandum
289,105,High-priority print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate",Monitor,28,Brazil,Brazil,1989-02-17,"February 17, 1989",Volume date range,Memorandum,Letter to OAS Secretary General Baena Soares,"memorandum form; Presidential or NSC principals; presidential diplomacy, regional policy; document text visible in OCR",High,72,45,"presidential diplomacy; regional policy",,,,+8d 1989-02-25 - Memorandum of Conversation,,Latin American Directorate Chronological Files,"February 1, 1989-March 1, 1989 [2]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-006, February 1, 1989-March 1, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-006.pdf,https://catalog.archives.gov/id/470766407,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-006.pdf#page=45,chronological-print-470766407-45-memorandum
290,105,Core private record,"Evaluate for print or annotation, using nearby leads and public statements as surrounding context.",Declassified memcon/telcon,FRUS-style ready,,Monitor,28,Brazil,Brazil,1989-02-25,1989-02-25,Volume date range,Memcon,Memorandum of Conversation,"President's Meeting with President Jose Sarney of Brazil, February 25, 1989",Full,,5,"Latin America; South America; Brazil; Bush Library Memcons and Telcons; Memcon",2,8,"+0d February 25, 1989 - President's Meeting with President; -2d February 23, 1989 - Background for the President’s Meeting with Sarney; -7d February 18, 1989 - Letter to President Sarney of Brazil on the; -8d February 17, 1989 - Letter to OAS Secretary General Baena Soares; -9d February 16, 1989 - Letter to President Sarney of Brazil; -9d February 16, 1989 - Presidential Letter to Brazilian President; -9d February 16, 1989 - Presidential Letter to Brazilian President; +13d MARCH 10, 1989 - WRITES REGARDING DISCUSSIONS WITH JAPANESE",,2,Presidential Memcon Files,"Presidential Memcon Files; [Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989. Declassified.","Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 2/25/1989; Type Memcon; Participants Sarney, Jose; Country Brazil; Release Status Full; NAID 428079873. Priority collection for volume compilation: Latin American Directorate Chronological Files, NAID 2197972, https://catalog.archives.gov/id/2197972. National Archives Catalog item: President's Meeting with President Jose Sarney of Brazil, February 25, 1989, NAID 428079873. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Memcon Files, NAID 321498039. File unit: [Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989, NAID 325377380. Digital object: 1989-02-25--Sarney.pdf, object ID 428079874, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-02-25--Sarney.pdf. Access restriction: Unrestricted. Deduped local provenance: Brent Scowcroft Papers, Presidential Correspondence Files, NAID 366551660, 91107-001, source pages 92-95.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-02-25--Sarney.pdf,https://catalog.archives.gov/id/428079873,,bush-library-428079873
291,105,High-priority print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate",Monitor,26,Colombia,Colombia,1989-10-18,"October 18, 1989",Volume date range,Memorandum,Draft Repiv from the Presicent to Colomhian Presicert,"memorandum form; Presidential or NSC principals; presidential diplomacy, regional policy; document text visible in OCR",High,72,90,"presidential diplomacy; regional policy",,,,+12d 1989-10-30 - Memorandum of Telephone Conversation,,Latin American Directorate Chronological Files,"October 16, 1989-October 31, 1989 [2]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00303, CF00303-005, October 16, 1989-October 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00303-005.pdf,https://catalog.archives.gov/id/470766462,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00303-005.pdf#page=90,chronological-print-470766462-90-memorandum
292,105,High-priority print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate",Monitor,26,Colombia,Colombia,1989-10-18,"October 18, 1989",Volume date range,Memorandum,Draft Reply from the President to Colombian President,"memorandum form; Presidential or NSC principals; presidential diplomacy, regional policy; document text visible in OCR",High,72,88,"presidential diplomacy; regional policy",,,,+12d 1989-10-30 - Memorandum of Telephone Conversation,,Latin American Directorate Chronological Files,"October 16, 1989-October 31, 1989 [2]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00303, CF00303-005, October 16, 1989-October 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00303-005.pdf,https://catalog.archives.gov/id/470766462,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00303-005.pdf#page=88,chronological-print-470766462-88-memorandum
293,105,High-priority print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate",Monitor,26,Colombia,Colombia,1989-10-18,"October 18, 1989",Volume date range,Memorandum,Draft Reply from the President to Colombian President,"memorandum form; Presidential or NSC principals; presidential diplomacy, regional policy; document text visible in OCR",High,72,14,"presidential diplomacy; regional policy",,,,+12d 1989-10-30 - Memorandum of Telephone Conversation,,Latin American Affairs Directorate Subject Files,"Colombia - January 20, 1989-December 31, 1989 [2]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00195, CF00195-008, Colombia - January 20, 1989-December 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2001-0434-F.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-008.pdf,https://catalog.archives.gov/id/470766565,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-008.pdf#page=14,subject-print-470766565-14-memorandum
294,105,Private record - partial release check,"Check for a less-redacted copy, then decide whether to print, annotate, or replace.",Declassified memcon/telcon,FRUS-style ready,partial_release_check_less_redacted_copy,Monitor,26,Colombia,Colombia,1989-11-27,1989-11-27,Volume date range,Telcon,Memorandum of Telephone Conversation,"Telephone Conversation with President Barco of Colombia, November 27, 1989",Partial,,5,"Latin America; South America; Colombia; Bush Library Memcons and Telcons; Telcon",2,9,"+1d November 28, 1989 - Memorandum of Telephone Conversation with; +1d November 28, 1989 - Memorandum of Telephone Conversation with; -5d November 22, 1989 - Security Survey of Cartagena, Colombia; -5d November 22, 1989 - Security Survey of Cartagena, Colombia; -5d November 22, 1989 - Telephone Call to Colombian President; +7d December 4, 1989 - Report by Bruce Gelb on His Trip to the Andean; +7d December 4, 1989 - Report by Bruce Gelb on His Trip to the Andean; +7d December 4, 1989 - Proposed U.S.-Andean Public Awareness",,0,Presidential Telcon Files,"Presidential Telcon Files; [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: November 1989","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: November 1989. Declassified; partial release: Partial.","Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 11/27/1989; Type Telcon; Participants Barco, Virgilio; Country Colombia; Release Status Partial; NAID 428080357. Priority collection for volume compilation: Latin American Directorate Chronological Files, NAID 2197972, https://catalog.archives.gov/id/2197972. National Archives Catalog item: Telephone Conversation with President Barco of Colombia, November 27, 1989, NAID 428080357. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Telcon Files, NAID 321498139. File unit: [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: November 1989, NAID 325592638. Digital object: 1989-11-27--Barco.pdf, object ID 428080358, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-11-27--Barco.pdf. Access restriction: Restricted - Partly.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-11-27--Barco.pdf,https://catalog.archives.gov/id/428080357,,bush-library-428080357
